-------------------------------------------- LOG FILE ----------------------------------------------------------------------------------

[29/10/22 18:59:07] [SRC_ADDR: ('127.0.0.1', 56507)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
[29/10/22 18:59:48] [SRC_ADDR: ('127.0.0.1', 56532)] [200 ACK] [USER: anarodlop12] [PASS: betis] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56575)] [200 ACK] [USER: anarodlop12] [PASS: betis] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56596)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56597)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56598)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56599)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56601)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56602)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56603)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56604)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56605)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
[29/10/22 19:01:11] [SRC_ADDR: ('127.0.0.1', 56606)] [401 Unauthorized] [USER: pabgalace] [PASS: 12345] [MSG: Canales te echamos de menos :(]
